Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
103_08,25648.8,526.1364928,98.81001829,3.35,277.14,141.8766,86.4315,0.6092,169.74,79.8926,12.116,25.76,34.27,46.77,57.75,67.97,88.55,142.16,189.3,222,227.49,232.77,250.69,263.32,272.666,99.2237,92.5672,173.7263,52.6201,46.4969,87.2635
103_01,18104.8,337.9463632,73.14799204,3.34,283.64,139.1021,83.424,0.5997,158.4,75.7656,11.7128,25.797,39.322,58.15,65.83,72.268,91.428,118.04,170.392,213.126,224.23,232.47,254.63,267.32,278.8218,99.5354,98.0636,166.2692,47.7621,43.1677,73.1919
101_06,35817.2,664.5956462,111.3442454,3.31,274.92,166.1238,66.6093,0.401,108.665,56.6849,20.7488,43.6465,67.226,105.188,115.4375,126.41,150.056,175.485,194.96,215.306,224.1025,232.27,249.241,257.671,271.01,99.915,97.7443,189.7237,65.5367,52.6526,102.1998
101_09,33469.6,560.5796934,103.6227663,21.97,288.54,185.7668,53.3026,0.2869,77,44.0068,58.8032,93.05,107.104,128.61,149.13,161.02,182.106,197.47,206.13,218.898,226.13,231.588,248.514,262.462,279.9184,95.8908,92.2896,176.6347,71.6257,53.7063,102.7894
102_17,32266.8,501.1708664,78.74413535,3.29,271.57,166.0511,69.1315,0.4163,107.77,57.2432,3.6748,21.19,73.13,104.158,117.97,132.448,156.754,177.44,196.88,217.598,225.74,231.46,247.94,256.088,265.14,80.14,80.9601,140.5134,53.1855,46.4166,80.5601
102_09,31841.6,569.3207388,99.14422232,3.29,274.76,177.6553,64.2132,0.3614,86.05,51.5179,5.86,49.328,67.456,128.3,139.08,156.928,180.708,196.13,208.38,219.904,225.13,230.91,244.958,254.066,264.32,99.2419,97.4362,191.2015,75.3733,61.0747,119.8484
102_22,40970.4,706.0555069,123.1987479,3.29,267.17,171.9769,63.1313,0.3671,90.64,51.9856,12.978,44.4,71,120.94,134.38,144.41,166.57,183.94,202.97,218.13,225.02,229.99,242.85,247.88,258.278,99.9429,97.84,188.0582,66.8426,55.4409,106.563
102_25,29055.2,699.5057225,113.2129145,3.29,269.32,145.5423,74.1945,0.5098,135.3725,64.3752,6.293,26.3625,50.105,73.01,82.26,93.76,121.62,138.33,171.91,210.2,217.6325,229.13,243.985,255.095,260.281,93.4604,89.2317,145.932,44.2842,41.7506,68.2801
103_30,30191.2,538.0793447,85.87397837,3.32,264.85,161.5278,75.7587,0.469,110.0525,64.5683,12.1066,21.5925,29.79,79.98,112.4325,128.197,164.426,190.395,206.05,219.27,222.485,226.11,237.793,247.25,256.8905,99.9288,98.8062,176.7889,74.3681,60.3462,107.9744
101_16,52292,771.9552136,115.9335279,3.41,266.69,187.2994,48.5159,0.259,51.135,37.049,51.4206,79.678,110.964,156.214,169.745,177.82,189.98,200.8,207.5,217.288,220.88,225.854,236.086,241.254,256.4994,94.5903,93.4875,155.3137,73.7836,57.9769,96.3188
