Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
102_23,23899.8,580.1012014,93.57132879,3.33,247.41,134.6295,66.7843,0.4961,111.14,58.0517,6.112,14.2175,39.775,70.93,84.7125,92.99,112.08,136.94,162.71,187.77,195.8525,201.25,219.495,228.4775,241.89,96.6392,91.698,159.9239,56.1192,47.4367,82.7309
101_27,32928.8,621.4266718,108.0146346,3.29,253.52,138.0036,57.261,0.4149,94.835,48.5239,16.7545,52.4725,70.595,86.47,92.9,97.55,114.9,130.895,148.97,173.66,187.735,200.27,220.495,231.49,243.77,99.8249,98.5409,142.8398,51.327,45.8736,66.496
103_28,15385.2,350.6082908,67.44024716,3.29,270.66,128.2693,74.4428,0.5804,135.345,66.4973,4.656,10.36,19.765,45.97,60.065,73.55,100.44,146.065,165.22,186.815,195.41,200.27,213.52,228.345,258.4045,94.642,92.9568,156.4486,55.3817,52.8525,88.9521
102_28,23922.4,415.9206941,79.92784077,3.34,246.3,148.166,64.8697,0.4378,85.955,53.5196,4.848,9.305,33.2,80.66,108.425,138.72,163.75,173.33,182.38,190.75,194.38,198.69,207.94,216.01,233.494,98.8781,93.2075,175.706,83.3269,64.6624,121.8956
102_24,32034.6,729.126142,121.7705272,3.3,249.52,138.1096,59.0013,0.4272,99.54,51.9222,7.2092,42.634,70.494,85.522,89.26,92.94,109.488,140.46,166.754,181.83,188.8,198.61,216.404,224.91,242.7104,98.9449,94.7326,172.2937,58.2612,48.5555,88.3098
33_17,1401.6,38.78688892,10.0457659,3.29,264.51,113.1819,81.4697,0.7198,163.4,74.2045,3.92,7.865,14.39,22.85,27.01,35.37,62.18,117.35,147.02,180.07,190.41,198.58,222.27,235.69,247.13,94.0166,92.7112,136.6691,50.9744,49.1211,72.4113
102_19,14335.8,267.6833333,35.9689569,3.29,235.94,139.0468,68.4507,0.4923,88.0725,56.5442,3.5649,6.159,11.957,80.41,104.0575,116.937,135.676,157.79,176.508,187.139,192.13,198.076,211.225,222.5755,229.0353,83.8779,83.6176,113.8536,55.1715,52.0825,70.9155
102_26,29339.4,664.3185752,128.0240219,3.89,255.99,115.6346,71.5421,0.6187,138.0525,65.8542,9.1928,24.4555,33.4,44.356,49.88,55.004,68.174,97.23,148.976,177.437,187.9325,197.836,212.389,220.6015,244.4915,99.9491,98.8282,158.7233,45.3204,45.0673,72.3805
101_A02,32670.4,598.6946306,107.001626,3.32,237.5,145.1852,57.7445,0.3977,82.025,47.4999,5.3204,10.893,66.666,96.8,108.025,118,140.32,160.47,169.586,183.544,190.05,197.678,210.218,221.657,232.13,96.2718,93.9083,143.1723,68.5639,55.2019,84.1606
101_30,26009.6,724.0803951,107.2918995,3.29,247.77,141.0772,58.2103,0.4126,83.065,47.1579,4.7567,25.5335,61.888,95.69,106.69,115.55,126.298,141.285,155.754,180.8,189.755,197.66,214.214,228.5995,241.1265,94.6151,90.1996,165.1439,56.4541,46.1563,84.5062
101_20,27783.8,666.7541822,119.938511,3.3,253.75,165.0433,45.5007,0.2757,40.885,31.2341,15.39,45.9,117.87,146.66,152.495,158.02,165.44,172.88,180.38,188.05,193.38,197.55,207.96,217.55,237.705,99.457,94.6363,166.5051,75.955,57.2373,100.7045
102_A01,25194,400.2629088,61.15836369,3.3,238.27,132.1468,70.6939,0.535,122.85,60.4802,4.6212,11.592,16.78,29.79,69.01,106.894,137.27,156.6,169.71,183.724,191.86,196.86,203.88,214.226,226.6696,97.7467,96.3101,162.1397,66.89,61.57,103.6541
101_26,31871,596.9916256,118.1640448,3.32,235.6,147.2144,57.3173,0.3893,92.765,48.6676,9.4212,37.5735,57.646,91.98,98.0575,109.29,151.848,167.41,175.118,185.22,190.8225,196.85,210.05,219.7865,230.88,99.7112,98.1403,162.555,71.9334,61.4446,101.7739
103_21,25113.6,642.4286554,108.5471276,3.31,261.04,106.8718,80.1136,0.7496,152.145,71.7649,4.75,7.322,9.52,16.7,26.735,34.578,58.396,106.08,134.742,164.824,178.88,196.842,219.54,230.854,246.6718,94.7493,93.4383,129.7042,50.1286,47.8771,66.4595
92_26,10376,293.8641452,48.50726599,3.29,245.52,135.3558,64.9337,0.4797,97.025,54.8434,3.6422,5.46,22.972,82.886,92.855,102.256,122.208,148.55,169.52,180.82,189.88,196.75,209.86,217.38,228.0032,81.9418,81.1485,116.2378,54.2533,48.7017,69.7606
102_29,13142.8,285.8836271,56.50622682,3.29,249.22,121.5027,65.1221,0.536,101.2725,54.8179,6.0023,19.2,28.557,65.116,74.63,83.327,99.19,113.065,134.01,158.44,175.9025,196.044,214.041,226.69,239.7107,97.3315,92.926,159.9526,45.4635,41.215,70.9429
101_14,17368.6,314.4978643,62.16068512,3.34,246.32,157.4324,51.2718,0.3257,45.84,36.7884,9.294,21.29,70.8,139.36,144.66,151.36,159.83,169.46,178.36,185.44,190.5,195.77,205.86,213.91,229.016,99.757,98.3314,174.2406,79.0198,61.9429,109.761
93_17,16700,432.3612596,70.48779673,3.31,254.36,127.6552,67.8787,0.5317,116.3,58.3305,6.7864,13.624,24.712,57.816,70.5,88.084,107.456,131.19,153.622,177.054,186.8,195.34,216.22,227.856,243.1852,99.6184,98.2394,180.9837,59.4234,50.8976,93.7672
92_06,39402.4,722.3193578,142.392229,3.3,242.55,155.6412,48.1056,0.3091,59.29,37.7686,10.8846,59.175,86.084,116.086,130.23,139.778,155.754,165.88,174.66,184.038,189.52,194.642,207.694,219.526,237.2012,100,98.6057,184.9757,79.8054,59.5979,111.8005
101_08,33844,620.1377461,111.7746415,3.29,231.13,159.6726,42.4174,0.2657,57.565,33.186,4.9845,82.6545,104.25,121.824,133.815,143.901,160.262,169.8,177.69,186.306,191.38,194.52,203.69,214,224.3291,94.7435,89.713,159.0785,68.2723,55.1789,97.8429
92_23,33458.8,663.814175,108.8522496,3.31,265.82,113.8535,76.992,0.6762,133.24,69.2845,4.2692,7.65,13.91,40.508,50.61,55.052,62.508,107.8,145.91,169.416,183.85,194.412,219.544,236.864,260.5904,96.7311,92.9569,145.1213,52.5508,47.335,73.898
102_13,33428.8,518.4945685,83.51894525,3.33,242.75,151.908,46.3572,0.3052,55.38,35.4225,6.622,61.54,98.29,116.8,126.12,135.08,147.86,157.44,165.13,174.38,181.5,194.13,210.91,217.91,229.952,99.5253,97.201,176.6361,73.8555,55.2902,100.4747
83_16,2675.2,55.13058863,12.16967924,3.43,273.41,120.5833,64.4572,0.5345,81.8525,51.928,7.5205,27.385,43.655,71.69,77.3,84.855,96.3,105.69,112.62,136.92,159.1525,193.85,226.065,242.02,258.9865,96.1225,92.75,143.8542,33.9279,32.875,50.9888
92_08,34541.6,594.9299553,102.4705423,3.29,256.95,137.7486,65.1298,0.4728,92.91,52.7941,4.17,12.22,36.13,76.66,91.5,105.94,131.77,144.32,159.85,174.88,184.41,193.27,225.19,236.36,248.018,97.0903,94.8852,135.3203,61.8913,54.2363,77.349
103_14,12400.8,191.2976884,35.15435536,3.29,256.44,140.6052,65.8091,0.468,74.945,53.2781,3.9156,7.05,17.17,72.12,110.98,129.308,149.996,161.66,171.27,178.77,185.925,193.172,208.33,218.865,241.4018,92.2396,88.6932,152.2627,74.1575,60.8637,104.4868
101_15,31172,573.0976314,101.6509973,3.29,240.07,145.4605,52.2095,0.3589,68.98,41.1118,6.1858,28.361,75.992,107.354,113.73,122.477,140.02,153.785,162.868,177.389,182.71,191.754,208.832,217.7755,231.8642,90.1063,84.8507,161.4336,59.5394,48.7,92.6547
81_10,25052,945.9043289,182.4400024,3.72,243.77,146.6492,51.3919,0.3504,68.7925,41.0003,15.2719,47.021,74.446,105.01,114.995,122.982,139.558,153.175,164.062,172.97,183.7875,191.38,211.22,227.7485,238.2695,99.8819,97.8876,173.7526,67.3162,54.7572,97.1952
63_A02,25645.6,616.4232491,121.037077,3.34,255.47,120.4631,60.8781,0.5054,97.4525,51.5441,7.5045,45.06,60.12,73.41,78.3675,81.94,89.55,97.21,110.37,149.62,175.82,190.82,219.395,231,247.9055,98.9359,97.4781,141.0185,37.9782,34.3082,49.6326
93_09,12200,356.535429,72.53763201,3.3,277.98,121.3656,69.4941,0.5726,106.01,58.446,4.3,10.968,33.18,55.348,68.48,78.042,92.16,113.94,134.702,163.102,174.49,190.678,223.032,239.696,268.5672,82.9893,83.967,116.4387,41.9547,40.2439,55.807
92_22,20487.2,530.4177855,104.0485496,3.64,219.19,140.4229,59.0781,0.4207,86.0875,49.746,8.5017,21.125,42.054,75.468,99.065,118.401,149.848,163.38,171.44,181.16,185.1525,190.576,200.63,207.16,213.7398,99.8228,97.73,183.0786,79.247,62.2961,116.6999
93_23,26862.8,514.5012551,105.6936749,3.35,261.17,116.1409,67.9379,0.585,124.3425,61.4594,7.1187,21.446,30.651,49.822,56.84,61.833,72.196,115.815,144.434,168.552,181.1825,190.07,207.681,220.63,242.6712,99.6972,98.56,165.8143,52.5908,49.64,83.5128
91_18,42029.6,835.4472384,178.6111696,3.33,223.21,152.2923,47.2211,0.3101,48.39,36.4996,29.4465,47,60.1,122.41,137.02,145.27,157.85,167.5,175.22,181.77,185.41,189.52,196.41,200.375,212.4085,99.9376,96.9139,169.8211,80.678,63.9881,112.1256
102_06,31125.6,621.8171892,92.57120102,3.31,221.97,121.5409,71.2516,0.5862,153.71,62.513,4.13,8.81,13.636,22.12,27.7,84.5,122.01,147.16,163.002,174.82,181.41,189.28,200.97,206.72,215.2255,96.4574,93.7673,132.003,65.0972,58.4094,82.2272
101_12,27770.4,525.9920668,109.9311321,3.3,233.55,138.0806,52.3291,0.379,84.99,43.9589,7.9244,49.234,73.876,92.25,98.685,106.37,122.16,141.08,156.422,175.77,183.675,189.21,206.19,212.547,227.5434,99.7632,97.4771,180.4094,64.1008,50.8227,94.0619
101_25,24796.8,492.9891991,98.49190225,3.32,223.91,143.5195,55.0271,0.3834,89.715,46.8786,12.1421,38.2755,60.657,79.682,94.8775,120.15,151.582,164.895,173.288,181.497,184.5925,188.58,200.86,207.5485,216.2397,98.9614,95.4054,172.5272,82.3689,60.8232,109.9901
83_28,27756.8,550.4196954,105.459826,3.29,245.66,119.646,62.7295,0.5243,100.09,54.2219,4.98,15.18,38.868,67.276,77.435,83.664,92.69,103.12,132.624,168.58,177.525,187.788,206.122,217.762,238.3036,98.9478,96.2018,143.5047,44.6783,42.268,63.0514
91_19,32708.8,642.2218338,116.613315,3.31,226.33,144.7697,46.949,0.3243,67.485,38.196,4.9506,69.6655,90.662,108.098,113.08,117.619,131.55,145.435,161.02,172.942,180.565,187.282,207.115,215.36,221.97,99.6328,96.0138,199.2131,61.9339,49.1657,102.0108
101_05,15716.8,526.7412494,97.20404814,4.61,260.26,127.1443,57.8214,0.4548,86.94,48.2504,19.6936,47.442,61.68,77.136,82.58,89.228,100.76,116.12,131.91,154.808,169.52,187.238,216.626,232.832,251.1876,99.0342,94.7933,199.2757,51.4688,40.6968,85.5533
82_18,17802.4,324.1617525,69.83219129,3.38,263.79,115.6834,59.1786,0.5116,104.9975,52.1634,19.5186,40.761,52.202,64.384,68.51,72.772,83.272,94.89,111.284,161.454,173.5075,186.714,205.6,212.7185,231.8417,99.4743,93.1028,177.9196,40.1051,36.628,69.9962
93_07,282.4,11.54404419,4.280212513,3.29,267.67,105.8907,78.1394,0.7379,141.83,70.1448,4.42,10.06,13.66,25.152,31.72,38.362,55.5,92.58,134.99,164.832,173.55,186.526,214.464,236.13,255.6025,87.9032,85.6261,136.6487,40.233,40.539,64.6953
93_29,12292.8,202.8692215,38.45070264,3.29,234.13,128.489,67.4673,0.5251,120.92,58.052,6.0105,14.5525,21.37,37.68,59.02,97.975,138.47,150.25,163.19,173.985,179.94,185.91,205.13,214.3225,227.2385,79.3754,78.3483,124.0878,51.5461,50.2929,79.6537
93_30,20314.8,388.6006185,69.28553723,3.88,224.8,107.9768,68.5924,0.6353,133.2675,65.2108,12.3776,19.4725,27.369,39.9,47.9525,52.43,62.168,74.19,159.63,176.96,181.22,185.572,193.413,199.7175,215.3986,100,98.8683,164.5818,52.5245,44.4545,74.0015
93_27,12307.2,217.2463715,43.49519088,3.41,276.39,98.3155,78.3228,0.7966,147.51,68.586,5.07,9.544,12.1,17.34,23.26,34.11,56.65,76.05,96.902,152.36,170.77,185.568,214.736,234.62,264.8924,98.0377,97.4102,163.6981,39.522,39.1916,65.8616
93_A12,16906.4,320.4690721,61.55933759,3.29,236.25,121.3738,67.778,0.5584,108.3575,58.0098,3.55,4.67,6.55,47.406,68.9875,84.592,115.23,138.065,157.636,169.24,177.345,185.19,198.749,209.33,223.9529,83.0846,84.1297,125.9564,54.9665,52.7444,78.9672
92_18,29541.6,579.1233807,127.3131001,3.31,246.32,134.6112,52.9831,0.3936,82.205,44.3633,12.3416,46.769,60.875,84.222,95.0725,105.281,122.714,137.77,154.13,170.13,177.2775,184.91,202.5,214.3885,227.0263,99.981,98.6714,194.2938,66.237,51.2275,100.872
92_20,35071.4,579.7791882,116.9518194,3.79,211.99,137.2308,58.0502,0.423,78.805,48.1677,10.06,23.328,34.448,76.304,101.5275,128.648,146.958,160.885,168.888,176.803,180.3325,184.756,192.752,198.4705,205.3721,100,98.0851,168.8645,84.7375,65.6738,113.0647
92_10,18008.4,425.3476538,77.95797478,3.29,212.08,132.8466,55.4039,0.4171,71.37,44.2316,5.6936,12.678,23.719,97.01,106.57,116.98,130.38,146.38,157.88,169.72,177.94,183.504,191.053,196.58,205.2582,98.346,94.8568,150.9705,66.5654,55.684,88.6245
92_02,20644.8,513.8053051,98.64686309,3.48,245.25,127.449,58.7791,0.4612,95.68,50.5584,6.7458,27.46,40.164,71.168,82.51,90.211,113.05,136.35,152.508,169.66,178.19,183.23,199.333,210.634,235.4451,99.4904,95.5957,170.1686,64.0141,50.9139,90.6311
93_A01,21670.6,425.6247249,82.84312847,3.29,214.1,119.2709,67.3009,0.5643,123.96,59.8932,4.09,8.39,13.77,34.25,53.28,72.98,120.94,143.49,159.3,171.47,177.24,183.13,193.3,199.315,208.919,90.8196,92.0072,138.69,58.6968,57.6494,86.8997
92_25,14355,281.6494582,72.28123158,3.34,231.13,121.008,62.5518,0.5169,115.0525,57.3922,13.7976,26.04,33.97,53.786,62.49,69.601,88.214,141.925,158.88,172.006,177.5425,182.75,193.165,200.77,221.0155,98.0954,97.7149,149.7007,59.1692,53.5757,82.0787
92_17,16615.2,293.2122647,61.49315605,3.31,212.85,131.8032,50.1227,0.3803,81.335,42.4933,5.6856,39.04,60.738,87.85,95.275,105.574,118.148,136.97,154.55,170.666,176.61,181.83,192.032,198.19,206.9322,96.9806,93.3054,135.5108,58.6024,48.7317,70.7748
91_02,21652.8,405.6393956,69.47554108,3.65,239.82,141.9343,41.6256,0.2933,60.5525,35.1195,30.6159,88.271,100.123,109.634,112.735,115.86,122.19,129.2,151.542,169.511,173.2875,181.618,200.995,215.3295,233.7151,100,98.7937,165.9574,42.7558,42.4608,71.3273
93_16,10168,173.9639507,39.87006681,3.3,224.71,111.9705,69.4956,0.6207,134.29,64.4092,6.6682,14.014,17.385,31.54,40.715,49.712,80.676,134.465,156.738,169.606,175.005,181.604,192.61,203.5935,214.4817,99.4902,94.3273,159.6432,58.3687,51.9578,87.9354
92_15,29855.4,644.5588298,128.0363327,3.47,219.96,133.6814,59.3089,0.4437,83.2475,48.8783,6.2974,25.068,34.054,57.502,92.9125,123.82,140.358,151.725,161.836,172.357,176.16,181.166,197.8,207.873,215.9086,99.3416,95.5601,174.4856,77.4897,63.6917,116.2963
92_09,25812,424.2463511,81.12482456,3.31,221.38,131.4285,59.2149,0.4505,71.0525,47.161,5.157,8.31,11.88,85.15,105.44,120.16,137.61,148.675,157.91,172.76,176.4925,181.13,190.19,198.4025,210.7395,97.6722,95.5885,175.1374,78.7585,62.6257,114.743
91_06,32279.2,676.5768954,128.2182122,3.29,216.44,138.8616,48.614,0.3501,56.38,37.0379,5.158,20.3725,74.83,108.29,117.23,125.01,134.85,145.01,157.96,167.83,173.61,181.02,194.805,202.2425,210.312,97.1514,92.0522,175.323,67.6714,51.513,98.112
93_A13,10115.2,173.8374143,32.71932134,3.3,249.5,105.3839,69.7738,0.6621,124.805,61.4782,5.8884,12.223,18,33.036,40.995,50.204,72.55,95.58,127.612,153.002,165.8,180.838,205.63,222.329,235.5838,98.6935,97.3642,158.2963,49.2292,45.6606,74.2357
91_12,29764.8,640.0126833,110.4286135,3.29,208.38,146.9408,46.4476,0.3161,41.2425,33.4013,5.817,17.195,76.025,127.58,136.8875,142.11,153.35,160.66,167.19,174.05,178.13,180.5,187.13,192.8575,199.648,99.2739,94.6196,162.5392,86.0283,64.3249,110.4984
91_15,22765.6,369.2239729,70.10838055,3.41,215.05,150.7861,40.5838,0.2691,37.37,28.7953,5.2694,66.358,99.126,131.154,139.51,145.706,154.428,161.16,167.104,173.096,176.88,180.38,187.848,194.109,203.862,99.0934,94.8667,132.0894,78.347,61.8716,86.148
92_16,25926.4,458.3452855,82.45122141,3.43,206.16,136.7161,49.2881,0.3605,75.8225,41.5367,18.5722,46.8565,61.366,86.46,100.33,113.409,137.334,150.59,161.928,173.08,176.1525,180.198,191.264,198.334,203.6681,98.462,94.8071,166.8891,73.3894,57.5503,101.3059
93_12,25304.4,823.1954632,130.7304884,3.29,236.02,114.0305,72.117,0.6324,146.865,65.7431,4.0479,11.56,15.26,24.598,28.955,36.044,109.692,138.98,159.742,170.97,175.82,179.88,197.006,205.77,216.6351,98.9966,94.1238,173.3775,68.4671,56.5137,104.0991
92_28,30996.2,663.703783,121.3520999,3.66,228.75,130.199,52.0831,0.4,74.09,42.5969,8.5696,29.054,56.946,87.91,96.93,104.504,119.416,131.3,148.69,162.812,171.02,179.702,196.97,206.36,222.6852,99.8447,98.4982,183.3185,62.8882,50.1669,93.3673
92_03,16313.8,412.5609352,80.92867535,3.29,240.58,123.7578,59.2199,0.4785,93.84,50.2005,3.7056,6.59,48.088,71.092,78.51,85.73,104.412,125.98,147.558,163.388,172.35,179.63,201.722,212.098,230.8492,89.8955,87.1911,147.5261,56.1672,46.6639,78.9547
91_05,18755.2,401.1355734,84.38025924,3.29,212.41,149.7722,41.0932,0.2744,38.51,29.6524,6.03,58.555,83.94,129.44,137.98,144.38,152.86,160.19,167.41,173.33,176.49,179.6,188.22,194.61,203.401,97.5425,92.5509,133.6105,75.3326,60.0922,86.7517
91_23,14671.2,264.527778,53.30989274,3.29,237.58,140.9567,48.9597,0.3473,52.93,36.5362,4.0312,26.571,70.454,113.76,121.87,128.494,139.41,149.33,158.098,169.276,174.8,179.594,191.404,204.16,225.2748,92.9342,87.7429,130.9781,63.3321,52.3169,78.0959
92_29,16580.4,303.7143473,67.51737629,3.49,224.47,125.9252,51.1355,0.4061,83.7125,44.3864,9.615,38.5375,68.025,83.08,88.735,93.94,102.51,117.03,143.88,163.245,172.4475,179.41,193.2,202.6175,219.2565,98.4,94.7637,156.8444,49.5556,45.1128,74.6667
92_24,26269.6,532.2529992,104.3184343,3.31,214.36,125.7896,60.4054,0.4802,98.145,52.4482,6.5772,13.64,24.754,58.57,77.405,95.614,129.038,150.72,160.294,171.21,175.55,179.22,187.47,193.05,203.4256,97.4606,92.448,135.4718,69.2596,56.5305,82.8388
91_27,26386.4,490.875169,88.7110981,3.29,216.3,138.7476,47.6473,0.3434,60.63,37.6544,6.82,29.248,66.778,106.19,114.48,121.37,136.88,150.61,161.32,170.202,175.11,179.074,188.88,194.41,202.99,98.3954,95.2567,175.8819,74.0323,56.4946,104.3116
91_20,32981.8,632.8860675,123.4534755,3.48,234.46,141.9747,44.7266,0.315,54.45,34.5887,15.9128,42.9675,76.587,108.8,119.01,130.33,142.97,152.02,160.86,169.187,173.46,177.11,188.288,198.494,211.3104,99.9253,97.7248,166.7724,79.6155,59.8666,102.1654
91_03,37391.4,655.9711016,129.7328131,3.43,207.5,152.5348,33.6569,0.2207,31.59,23.8323,17.1536,87.484,109.612,133.288,141.35,147.83,154.77,160.63,165.468,170.13,172.94,176.11,184.142,191.89,200.7524,99.9408,98.5487,164.8313,86.2049,62.7257,104.9142
93_25,16892,266.2107118,39.64184001,3.29,238.24,97.7196,74.7875,0.7653,143.95,68.2284,3.885,8.5,12.39,18.84,21.37,24.29,48.5,94.085,132.13,154.33,165.32,175.91,202.235,218.49,233.7775,92.5863,87.7511,140.1799,43.8989,44.8418,71.6334
83_A03,23737.2,484.2533897,95.80122849,3.29,244.24,105.1557,66.9948,0.6371,112.78,57.2123,4.42,8.962,14.22,42.814,50.52,61.02,74.12,99.04,118.08,142.95,163.3,175.5,203.892,218.492,238.71,97.0882,95.0392,148.5523,48.585,45.8608,71.6833
92_13,26596.8,540.0301865,99.03754863,3.29,231.52,108.7421,67.5695,0.6214,115.95,59.0726,3.67,5.59,10.22,37.372,50.14,56.18,89.958,112.76,137.13,154.464,166.09,175.172,197.8,211.407,226.1008,94.5318,89.6363,133.9555,58.8409,49.0359,73.2809
93_26,10086.6,232.0009489,49.47887744,3.29,272.92,97.316,71.7692,0.7375,109.875,61.9767,6.67,15.02,23.753,40.13,45.38,50.108,59.29,67.05,75.3,140.52,155.255,175.05,214.347,232.83,269.8131,99.667,96.7263,167.2674,33.2419,33.8469,58.5309
93_28,15337.6,368.2321895,68.31965404,3.29,279.6,120.5957,68.8836,0.5712,86.55,55.5279,5.0948,11.794,24.726,59.232,76.05,85.5,97.51,115.16,134.002,151.892,162.6,174.676,224.714,249.876,273.9964,95.6952,90.6164,138.3238,52.2667,42.8251,65.3714
92_01,20638,370.7083754,71.8660799,3.29,214.88,123.4387,57.0182,0.4619,83.4775,47.4763,11,21.211,27.45,60.65,83.9925,105.253,124.184,137.105,149.88,161.02,167.47,174.46,188.878,197.2425,207.6327,99.9428,98.0042,165.3219,74.1917,59.49,100.3529
73_14,17752,470.9810332,72.31771942,3.29,255.44,105.1813,72.6768,0.691,116.53,59.4983,3.9934,6.03,8.02,13.25,30.6,59.54,91.372,105.72,122.62,138.108,147.13,174.142,220.872,235.27,248.2824,85.5275,86.5543,144.8395,52.0872,46.5323,77.867
92_A09,2484.6,64.54489477,17.50343416,3.29,239.47,119.5269,62.4565,0.5225,81.215,51.0744,3.77,6.07,19.564,71.714,82.4,90.327,102.222,119.495,138.236,158.33,163.615,174.142,202.011,226.627,235.21,87.516,82.7364,124.7483,49.2953,43.7174,65.9162
92_04,22068,401.1556447,72.85158861,3.43,233.24,128.7394,53.9838,0.4193,73.5025,43.5728,7.32,13.0065,45.436,85.068,93.4375,107.909,125.33,138.56,150.358,161.415,166.94,174.13,191.99,206.151,223.7682,99.5843,97.7812,153.2925,67.7314,56.1122,87.9676
92_07,22284,388.6075998,71.13573335,3.29,218.69,126.1561,51.9448,0.4118,75.725,43.3913,6.0806,21.9265,49.524,78.204,92.9875,101.98,119.876,137.175,150.88,163.692,168.7125,173.892,185.624,193.151,202.6786,90.1261,84.9408,126.6306,58.3063,48.876,72.8649
82_22,14740.4,283.0060154,58.69436485,3.6,246.47,132.9711,52.0077,0.3911,57.53,39.7099,11.0008,22.608,48.622,98.75,109.8,118.364,129.712,138.49,150.456,160.234,167.33,173.764,193.776,208.32,233.9224,99.9529,98.1762,164.6588,68.8471,54.4613,91.3412
93_01,6374.4,109.1546385,18.35453944,3.3,223,105.639,71.4836,0.6767,154.98,62.7487,3.6,5.34,7.27,11.14,14.8675,19.44,103.69,118.55,143.41,164.39,169.8475,173.72,188.98,196,211.327,73.3133,75.1701,110.4448,46.4768,48.0952,70.6647
91_A09,12174.4,297.3308055,64.40314727,3.29,207.52,129.6631,45.4008,0.3501,81.46,39.3999,15.4595,58.7675,72.729,83.54,86.51,89.821,121.276,137.47,151,162.389,167.97,173.606,185.38,193.63,201.8168,99.3109,95.8653,164.1261,65.6922,53.7992,92.1069
91_04,20998.4,471.3170091,89.4275205,3.33,228.66,131.6992,46.4733,0.3529,65.54,37.1672,5.7168,62.07,77.87,93.742,101.04,106.76,121.22,130.08,141.49,160.19,166.58,173.538,192.44,206.392,221.72,98.4782,95.2609,144.9713,54.7199,46.5942,70.9087
92_14,29001.6,441.6411753,81.95054103,3.3,212.5,131.9998,49.7119,0.3766,56.15,38.7441,5.6452,25.45,35.51,100.952,111.885,119.51,134.476,144.36,156.62,163.13,168.035,173.11,181.834,189.083,203.41,98.9358,92.5795,165.5471,77.9514,57.8947,103.5251
91_07,18460,355.2718106,74.80056933,3.32,206.05,130.8792,48.4422,0.3701,68,39.7787,7.7828,27.868,59.13,91.12,100.46,112.056,129.966,143.63,155.282,163.71,168.46,172.58,183.19,191.169,200.8688,99.347,96.5766,170.2789,73.844,57.7177,101.7649
73_11,7652.8,356.3399521,71.17681851,3.29,291.73,131.8775,67.2454,0.5099,73.2125,51.2426,5.0017,25.861,50.527,76.166,84.6025,97.653,114.55,126.245,138.512,150.74,157.815,171.818,244.818,263.73,282.8314,98.8676,96.9739,163.7631,57.3751,44.4635,75.0871
81_05,32674,717.3076448,149.4768248,3.29,202.91,132.4266,43.0596,0.3252,62.415,34.8103,6.4668,48.2825,74.657,92.794,104.5175,114.763,129.13,141.41,149.91,161.52,166.9325,171.466,181.36,188.61,195.1498,98.9,94.1416,165.0662,70.2839,54.0483,94.7674
91_22,19915,341.2568165,68.90507109,3.29,210.05,132.5919,43.4468,0.3277,66.1125,36.1222,17.914,52.7525,69.98,93.76,100.8925,109.775,128.22,141.97,152.72,163.16,167.005,171.22,182.09,188.75,199.8,99.1893,93.9146,163.3216,71.6696,55.0586,95.7493
92_30,31408,582.31297,104.7981708,3.29,222.02,127.4199,51.0346,0.4005,73.83,41.7488,7.449,21.05,43.499,80.746,90.33,108.3,127.55,141.66,149.38,160.446,164.16,171.02,185.55,192.951,210.58,99.1152,97.575,188.806,76.0215,59.1862,114.5243
73_24,11642.4,320.503106,64.43529769,3.29,294.29,126.9816,62.1708,0.4896,68.5575,47.6012,11.6943,28.29,40.887,79.152,86.58,93.629,112.544,126.025,137.36,147.984,155.1375,170.328,215.479,259.709,280.3935,98.9737,94.9395,177.1346,60.0575,47.07,87.8216
82_25,15796,385.9206654,70.76652532,3.3,226.94,118.2692,58.586,0.4954,87.93,49.4428,6.9872,15.342,31.062,53.248,73.01,87.472,109.01,129.16,142.69,153.934,160.94,169.942,194.25,208.94,221.5892,98.3178,93.6922,176.7601,61.028,51.7503,97.6324
93_02,20439,410.9451966,82.09469467,3.3,226.85,95.4997,65.2061,0.6828,119.605,56.0044,3.81,6.595,9.885,24.29,37.6,53.415,73.19,84.4,108.08,138.435,157.205,169.11,188.38,202.7175,218.0305,91.4045,90.2457,119.8196,45.3952,42.5867,56.5426
